Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Version,#DIV/0!
2011-01-20,84.439053,82.439053,84.439053,84.439053,84.439053,85.439053,85.439053,87.439053,87.439053,92.439053,107.439053,117.439053,117.439053,107.439053,117.439053,117.439053,107.439053,87.439053,127.439053,127.439053,127.439053,92.439053,87.439053,84.980053,TX4,99.3782613333334
2011-01-21,87.539246,87.039246,87.039246,87.039246,87.039246,87.539246,87.539246,87.539246,87.539246,87.539246,92.539246,92.539246,92.539246,92.539246,92.539246,92.539246,92.539246,87.539246,132.539246,132.539246,117.539246,92.539246,87.539246,87.539246,TX4,94.1225793333333
2011-01-22,87.511308,87.511308,87.511308,87.511308,87.511308,87.511308,87.511308,87.511308,88.011308,88.011308,88.011308,88.011308,107.511308,88.011308,88.011308,88.011308,88.011308,88.011308,132.511308,147.511308,132.511308,88.011308,88.011308,87.511308,TX4,94.8238080000001
2011-01-23,87.4814,87.4814,87.4814,87.4814,87.4814,87.4814,87.4814,87.4814,87.4814,87.4814,110.5004,110.9814,110.9814,110.9814,110.9814,110.5004,87.4814,87.4814,110.9814,131.9814,131.9814,110.9814,110.9814,87.4814,TX4,99.96215
2011-01-24,111.806227,111.306227,96.806227,96.806227,111.306227,111.806227,111.806227,112.236227,126.806227,132.806227,132.806227,132.806227,132.806227,132.806227,132.806227,132.806227,132.806227,126.806227,132.806227,141.806227,132.806227,132.806227,112.236227,111.806227,TX4,122.675393666667
2011-01-25,112.650238,112.650238,112.650238,112.650238,112.650238,116.650238,112.650238,116.650238,118.650238,128.650238,133.650238,133.650238,133.650238,133.650238,138.928238,133.650238,133.650238,133.650238,148.650238,148.650238,133.650238,118.650238,112.650238,116.650238,TX4,125.411821333333
2011-01-26,113.821676,113.821676,113.821676,113.821676,113.821676,117.821676,119.321676,124.821676,124.821676,134.821676,139.821676,139.821676,139.821676,139.821676,139.821676,124.821676,124.821676,124.821676,139.821676,149.821676,139.821676,134.821676,124.821676,119.321676,TX4,128.030009333333
2011-01-27,116.32017,116.32017,116.32017,116.32017,116.32017,118.32017,118.32017,118.32017,122.32017,122.32017,123.32017,123.32017,123.32017,123.32017,123.32017,122.32017,122.32017,118.32017,128.32017,158.32017,128.32117,122.32017,118.32017,116.32017,TX4,122.195211666667
2011-01-28,109.41346,113.91346,113.91346,113.91346,115.41346,117.41346,117.41346,117.41346,125.41346,125.41346,125.41346,125.41346,125.41346,125.41346,125.41346,125.41346,125.41346,125.41346,125.41346,157.41346,125.41346,125.41346,117.41346,117.41346,TX4,122.559293333333
2011-01-29,102.232174,102.232174,102.232174,102.232174,102.232174,102.232174,102.232174,107.331174,112.332174,112.332174,112.332174,112.332174,112.332174,112.332174,112.332174,112.332174,112.332174,112.332174,115.432174,115.432174,115.432174,112.332174,112.332174,107.332174,TX4,109.357132333333
