Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Version
2020-01-21,374.242548,372.242548,354.241548,304.232548,304.232548,374.242548,372.242548,390.212548,404.241548,404.241548,502.242548,502.242548,502.242548,502.242548,502.242548,502.242548,404.241548,404.241548,502.242548,502.242548,404.241548,390.212548,372.242548,372.242548,TXF
2020-01-22,369.050647,341.051647,341.051647,341.051647,341.051647,371.051647,371.051647,391.051647,391.051647,391.051647,394.050647,394.050647,391.051647,391.051647,391.051647,391.051647,391.051647,391.051647,391.051647,394.050647,391.051647,391.051647,391.051647,371.051647,TXF
2020-01-23,354.548279,254.548279,254.548279,254.548279,254.548279,354.548279,354.548279,376.548279,376.548279,409.548279,409.548279,409.548279,390.518279,390.518279,390.518279,409.548279,390.518279,390.518279,409.548279,409.548279,409.548279,390.518279,409.548279,384.548279,TXF
2020-01-24,350.690405,350.690405,350.690405,350.690405,350.690405,350.690405,350.690405,361.690405,405.690405,443.690405,432.690405,432.690405,405.690405,405.690405,405.690405,405.690405,405.690405,389.450405,432.690405,432.690405,405.690405,389.450405,388.690405,361.690405,TXF
2020-01-25,350.741354,350.741354,350.741354,350.741354,350.741354,350.741354,350.741354,350.741354,398.741354,432.741354,432.741354,432.741354,398.741354,393.741354,393.741354,389.601354,389.601354,389.601354,393.741354,432.741354,393.741354,393.741354,389.601354,393.741354,TXF
2020-01-26,378.763862,378.763862,341.763862,341.763862,341.763862,341.763862,341.763862,341.763862,341.763862,373.763862,378.763862,378.763862,378.763862,378.763862,378.763862,378.763862,373.763862,373.763862,378.763862,398.763862,398.763862,378.763862,378.763862,378.763862,TXF
2020-01-27,378.6771,373.6771,344.6771,344.6771,353.6771,373.6771,378.6771,378.6771,378.6771,378.6771,378.6771,378.6771,378.6771,378.6771,401.6771,401.6771,378.6771,378.6771,401.6771,401.6771,378.6771,378.6771,378.6771,344.6771,TXF
2020-01-28,328.818032,328.818032,303.818032,303.818032,303.818032,328.818032,379.818032,360.818032,378.718032,378.718032,378.718032,379.818032,378.718032,378.718032,379.818032,379.818032,379.818032,378.718032,379.818032,392.818032,392.818032,378.718032,378.718032,360.818032,TXF
2020-01-29,368.7997,376.7997,294.7997,294.7997,318.7997,368.7997,368.7997,368.7997,376.7997,376.7997,393.7997,393.7997,393.7997,393.7997,393.7997,393.7997,413.7997,372.7997,393.7997,393.7997,413.7997,372.7997,368.7997,368.7997,TXF
2020-01-30,352.712149,352.712149,352.712149,352.712149,352.712149,352.712149,366.212149,366.212149,372.712149,372.712149,378.712149,382.712149,382.712149,382.712149,382.712149,382.712149,382.712149,378.712149,382.712149,382.712149,382.712149,378.712149,372.712149,366.212149,TXF
2020-01-31,368.680365,368.680365,366.680365,366.680365,368.680365,374.680365,374.680365,375.680365,375.680365,375.680365,379.680365,379.680365,379.680365,379.680365,379.680365,379.680365,379.680365,379.680365,379.680365,379.680365,379.680365,379.680365,375.680365,375.680365,TXF
