H;Pch;Pdch;Pd;
00:00;0.0;0.0;50.0;
01:00;0.0;0.0;50.0;
02:00;0.0;0.0;50.0;
03:00;0.0;0.0;50.0;
04:00;0.0;0.0;24.4333;
05:00;0.0;0.0;23.938;
06:00;0.0;0.0;18.3289;
07:00;0.0;0.0;14.529500000000002;
08:00;17.3205;0.0;30.9647;
09:00;0.0;0.0;12.6478;
10:00;4.021994736842107;0.0;0.0;
11:00;19.3185;0.0;33.5899;
12:00;17.320499999999996;0.0;19.124599999999994;
13:00;0.0;0.0;17.8611;
14:00;0.0;0.0;20.8171;
15:00;5.176400000000001;0.0;31.3337;
16:00;0.0;0.0;31.0859;
17:00;0.0;13.320999999999998;0.0;
18:00;0.0;9.836894736842106;0.0;
19:00;0.0;20.0;0.0;
20:00;0.0;20.0;0.0;
21:00;0.0;0.0;34.3384;
22:00;0.0;0.0;29.0459;
23:00;0.0;0.0;50.0;
